Unnamed: 0,Work Location,Region,Year,Number,Origin_Latitude,Origin_Longitude,Local Attendee,Conference Location,Destination_Latitude,Destination_Longitude,Travel Distance (round trip km),Travel CO2 (tonnes),Travel Cost (USD)
0,United Arab Emirates,Middle East,2018,1,24.0002488,53.999482900000004,0,"Vancouver, Canada",49.2608724,-123.1139529,23727.6130857098,3.7086668864469146,2894.7687964565953
1,Albania,Europe,2018,0,41.000028,19.9999619,0,"Vancouver, Canada",49.2608724,-123.1139529,18698.509148847923,2.88745148709481,2617.7912808387096
2,Argentina,Other Americas,2018,2,-34.9964963,-64.9672817,0,"Vancouver, Canada",49.2608724,-123.1139529,21964.76874579166,3.4157338855460977,2679.7017869865826
3,Austria,Europe,2018,3,47.2000338,13.199959,0,"Vancouver, Canada",49.2608724,-123.1139529,16988.65530247365,2.6183982059767508,2378.4117423463113
4,Australia,Oceania,2018,8,-24.7761086,134.755,0,"Vancouver, Canada",49.2608724,-123.1139529,25849.459264721234,4.0685185356346185,3153.6340302959907
5,Bosnia and Herzegovina,Europe,2018,0,44.305347600000005,17.596146700000002,0,"Vancouver, Canada",49.2608724,-123.1139529,17867.18567631386,2.7559954144886176,2501.4059946839407
6,Bangladesh,Asia,2018,0,24.4768783,90.2932426,0,"Vancouver, Canada",49.2608724,-123.1139529,22345.846976677713,3.4785939255409692,2726.193331154681
7,Belgium,Europe,2018,2,50.6402809,4.666714499999999,0,"Vancouver, Canada",49.2608724,-123.1139529,15699.280964780564,2.4189168118875353,2197.899335069279
8,Burkina Faso,Africa,2018,0,12.075308300000001,-1.6880313999999998,0,"Vancouver, Canada",49.2608724,-123.1139529,22246.620390685286,3.4622015481107256,2714.087687663605
9,Bulgaria,Europe,2018,0,42.6073975,25.4856617,0,"Vancouver, Canada",49.2608724,-123.1139529,18701.027247356742,2.8878515208040367,2618.1438146299442
10,Burundi,Africa,2018,0,-3.3634357,29.8870575,0,"Vancouver, Canada",49.2608724,-123.1139529,28616.702919461055,4.549746860247889,3491.2377561742487
11,Brazil,Other Americas,2018,4,-10.333333300000001,-53.2,0,"Vancouver, Canada",49.2608724,-123.1139529,18936.064390084455,2.9252395206112203,2651.049014611824
12,Canada,Other Americas,2018,320,61.0666922,-107.9917071,0,"Vancouver, Canada",49.2608724,-123.1139529,3236.5600404919137,0.6005847509732044,828.5593703659299
13,Switzerland,Europe,2018,34,46.7985624,8.231973599999998,0,"Vancouver, Canada",49.2608724,-123.1139529,16700.770976799606,2.573605063057853,2338.107936751945
14,Chile,Other Americas,2018,0,-31.7613365,-71.3187697,0,"Vancouver, Canada",49.2608724,-123.1139529,20724.592521514645,3.212934636761796,2528.400287624787
15,Cameroon,Africa,2018,0,4.6125522000000005,13.153581099999998,0,"Vancouver, Canada",49.2608724,-123.1139529,25385.543010674726,3.9891635533907475,3097.0362473023165
16,China,Asia,2018,71,35.000074,104.999927,0,"Vancouver, Canada",49.2608724,-123.1139529,19024.416182450022,2.939319057610253,2320.978774258903
17,Colombia,Other Americas,2018,0,2.8894433999999998,-73.78389200000001,0,"Vancouver, Canada",49.2608724,-123.1139529,13881.923418611908,2.1427252137816937,1943.4692786056673
18,Czech Republic,Europe,2018,3,49.816700299999994,15.4749544,0,"Vancouver, Canada",49.2608724,-123.1139529,16623.398758364954,2.5615912934695135,2327.2758261710937
19,Germany,Europe,2018,48,51.0834196,10.4234469,0,"Vancouver, Canada",49.2608724,-123.1139529,16037.33029472954,2.4709336506401716,2245.2262412621358
20,Denmark,Europe,2018,4,55.670249,10.333328300000002,0,"Vancouver, Canada",49.2608724,-123.1139529,15150.050542475217,2.334834199491285,2121.0070759465307
21,Estonia,Europe,2018,0,58.75237779999999,25.3319078,0,"Vancouver, Canada",49.2608724,-123.1139529,15332.322378666604,2.3626795656959008,2146.5251330133246
22,Egypt,Africa,2018,0,26.254049300000002,29.2675469,0,"Vancouver, Canada",49.2608724,-123.1139529,22365.7707804392,3.4818874589121127,2728.6240352135824
23,Spain,Europe,2018,17,39.3262345,-4.838064900000001,0,"Vancouver, Canada",49.2608724,-123.1139529,16913.40839063922,2.606676121214661,2367.877174689491
24,Ethiopia,Europe,2018,0,10.211670199999999,38.6521203,0,"Vancouver, Canada",49.2608724,-123.1139529,26332.100392312914,4.15147904418529,3212.5162478621755
25,Finland,Europe,2018,8,63.2467777,25.9209164,0,"Vancouver, Canada",49.2608724,-123.1139529,14426.424911250722,2.2248647330512443,2019.6994875751013
26,France,Europe,2018,41,46.603353999999996,1.8883334999999999,0,"Vancouver, Canada",49.2608724,-123.1139529,16221.376909847228,2.4993382200825387,2270.992767378612
27,United Kingdom,Europe,2018,169,54.702354500000006,-3.2765752999999997,0,"Vancouver, Canada",49.2608724,-123.1139529,14340.434399536749,2.2118580906873615,2007.6608159351451
28,Ghana,Africa,2018,0,8.0300284,-1.0800271000000001,0,"Vancouver, Canada",49.2608724,-123.1139529,23062.98882294475,3.597582681146047,2813.6846363992595
29,Greece,Europe,2018,0,38.995368299999996,21.987713199999998,0,"Vancouver, Canada",49.2608724,-123.1139529,19240.140831888402,2.9737542387736102,2347.297181490385
30,Guatemala,Other Americas,2018,0,15.635608800000002,-89.8988087,0,"Vancouver, Canada",49.2608724,-123.1139529,9588.07782918452,1.5132930347650109,1342.3308960858328
31,Croatia,Europe,2018,0,45.5643442,17.0118954,0,"Vancouver, Canada",49.2608724,-123.1139529,17574.562553706175,2.710013114341155,2460.438757518865
32,Hungary,Europe,2018,0,47.1817585,19.5060937,0,"Vancouver, Canada",49.2608724,-123.1139529,17406.414483832526,2.6836588820517786,2436.898027736554
33,Indonesia,Asia,2018,0,-2.4833826,117.89028529999999,0,"Vancouver, Canada",49.2608724,-123.1139529,24556.136800644836,3.848235055783183,2995.84868967867
34,Ireland,Europe,2018,0,52.865196,-7.9794599,0,"Vancouver, Canada",49.2608724,-123.1139529,14256.620917715516,2.1991932791354394,1995.9269284801724
35,Israel,Middle East,2018,31,31.531311300000002,34.8667654,0,"Vancouver, Canada",49.2608724,-123.1139529,21540.676209950157,3.3460793860057265,2627.9624976139194
36,India,Asia,2018,16,22.3511148,78.6677428,0,"Vancouver, Canada",49.2608724,-123.1139529,23529.898423162096,3.675539839846801,2870.647607625776
37,Iraq,Middle East,2018,0,33.0955793,44.174977500000004,0,"Vancouver, Canada",49.2608724,-123.1139529,21542.85004188476,3.3464356158895474,2628.227705109941
38,Iran,Middle East,2018,1,32.6475314,54.56435160000001,0,"Vancouver, Canada",49.2608724,-123.1139529,21808.801295715526,3.390080375984654,2660.673758077294
39,Iceland,Europe,2018,0,64.9841821,-18.1059013,0,"Vancouver, Canada",49.2608724,-123.1139529,11572.606716683693,1.8001656696151942,1620.1649403357171
40,Italy,Europe,2018,6,42.6384261,12.674297,0,"Vancouver, Canada",49.2608724,-123.1139529,17849.76975764874,2.7532544832849144,2498.967766070824
41,Japan,Asia,2018,64,36.5748441,139.2394179,0,"Vancouver, Canada",49.2608724,-123.1139529,15024.24628320726,2.3156494424086747,2103.3944796490164
42,Kenya,Africa,2018,0,1.4419683,38.431397499999996,0,"Vancouver, Canada",49.2608724,-123.1139529,28211.305748606963,4.4784039209436575,3441.7793013300493
43,Cambodia,Asia,2018,0,13.5066394,104.869423,0,"Vancouver, Canada",49.2608724,-123.1139529,23205.569692376786,3.6213478259090817,2831.079502469968
44,North Korea,Asia,2018,1,40.37366110000001,127.08704170000001,0,"Vancouver, Canada",49.2608724,-123.1139529,15832.370453166508,2.43937172328141,2216.5318634433115
45,South Korea,Asia,2018,65,36.638391999999996,127.69611880000001,0,"Vancouver, Canada",49.2608724,-123.1139529,16398.613332983576,2.5267481706596966,2295.8058666177008
46,Lebanon,Middle East,2018,1,33.875062899999996,35.843409,0,"Vancouver, Canada",49.2608724,-123.1139529,21078.790953266427,3.2705782573046585,2571.612496298504
47,Sri Lanka,Asia,2018,0,7.555494199999999,80.7137847,0,"Vancouver, Canada",49.2608724,-123.1139529,26572.0724646957,4.1928803058944615,3241.792840692875
48,Lithuania,Europe,2018,0,55.350000300000005,23.7499997,0,"Vancouver, Canada",49.2608724,-123.1139529,15964.119728489373,2.4596513988210713,2234.9767619885124
49,Luxembourg,Europe,2018,0,49.8158683,6.1296751,0,"Vancouver, Canada",49.2608724,-123.1139529,15965.929447198165,2.459930175063497,2235.2301226077434
50,Latvia,Europe,2018,0,56.8406494,24.7537645,0,"Vancouver, Canada",49.2608724,-123.1139529,15702.671123239841,2.4194374677794217,2198.373957253578
51,Morocco,Africa,2018,0,31.1728205,-7.3362482,0,"Vancouver, Canada",49.2608724,-123.1139529,18104.754114567746,2.793437502048603,2534.6655760394847
52,Mali,Africa,2018,0,16.3700359,-2.2900238999999996,0,"Vancouver, Canada",49.2608724,-123.1139529,21384.951606111543,3.3205821717607695,2608.9640959456083
53,Mauritius,Africa,2018,0,-20.2759451,57.5703566,0,"Vancouver, Canada",49.2608724,-123.1139529,33583.11931239407,5.447258776438315,4097.140556112076
54,Malawi,Africa,2018,0,-13.2687204,33.9301963,0,"Vancouver, Canada",49.2608724,-123.1139529,30991.842479862684,4.973549893985282,3781.0047825432475
55,Mexico,Other Americas,2018,0,19.4326296,-99.1331785,0,"Vancouver, Canada",49.2608724,-123.1139529,7888.675250382058,1.2731531290622615,1262.1880400611294
56,Malaysia,Asia,2018,0,4.5693754,102.2656823,0,"Vancouver, Canada",49.2608724,-123.1139529,25211.193669732435,3.9594383622986973,3075.765627707357
57,Nigeria,Africa,2018,0,9.6000359,7.999972099999999,0,"Vancouver, Canada",49.2608724,-123.1139529,23854.315983918677,3.7299321475323297,2910.2265500380786
58,Netherlands,Europe,2018,25,52.500169799999995,5.7480820999999995,0,"Vancouver, Canada",49.2608724,-123.1139529,15433.89474468788,2.3782220118675865,2160.7452642563035
59,Norway,Europe,2018,3,64.5731537,11.52803643954819,0,"Vancouver, Canada",49.2608724,-123.1139529,13528.016719106454,2.0896175976100406,1893.9223406749038
60,New Zealand,Oceania,2018,0,-41.5000831,172.83440769999999,0,"Vancouver, Canada",49.2608724,-123.1139529,23740.062761070312,3.7107551322250716,2896.287656850578
61,Peru,Other Americas,2018,0,-6.8699697,-75.0458515,0,"Vancouver, Canada",49.2608724,-123.1139529,15562.902340118419,2.3979887655783854,2178.806327616579
62,Philippines,Asia,2018,0,12.750348599999999,122.7312101,0,"Vancouver, Canada",49.2608724,-123.1139529,21204.95106080121,3.2911634399668515,2587.0040294177475
63,Pakistan,Middle East,2018,0,30.3308401,71.247499,0,"Vancouver, Canada",49.2608724,-123.1139529,22102.132116899385,3.438362902319791,2696.460118261725
64,Poland,Europe,2018,3,52.215933,19.134422,0,"Vancouver, Canada",49.2608724,-123.1139529,16363.54108024718,2.5213197865064307,2290.8957512346055
65,Portugal,Europe,2018,1,40.0332629,-7.889626299999999,0,"Vancouver, Canada",49.2608724,-123.1139529,16472.998126576862,2.5382684130553823,2306.219737720761
66,Qatar,Middle East,2018,2,25.3336984,51.2295295,0,"Vancouver, Canada",49.2608724,-123.1139529,23403.184941156665,3.654345248452947,2855.188562821113
67,Romania,Europe,2018,1,45.98521289999999,24.6859225,0,"Vancouver, Canada",49.2608724,-123.1139529,17952.35442791072,2.7694070393315857,2513.3296199075007
68,Russia,Europe,2018,26,64.6863136,97.7453061,0,"Vancouver, Canada",49.2608724,-123.1139529,13724.319278929188,2.1190477076284635,1921.4046990500865
69,Rwanda,Africa,2018,0,-1.9646631,30.064435800000002,0,"Vancouver, Canada",49.2608724,-123.1139529,28343.136617567034,4.501572111407873,3457.862667343178
70,Saudi Arabia,Middle East,2018,2,25.624261800000003,42.352832799999995,0,"Vancouver, Canada",49.2608724,-123.1139529,23128.638978484865,3.6085206908083243,2821.6939553751536
71,Sudan,Africa,2018,0,14.584444400000002,29.4917691,0,"Vancouver, Canada",49.2608724,-123.1139529,24844.053194239954,3.897018974686893,3030.9744896972743
72,Sweden,Europe,2018,11,59.67497120000001,14.5208584,0,"Vancouver, Canada",49.2608724,-123.1139529,14624.435481460028,2.2548647132464996,2047.420967404404
73,Singapore,Asia,2018,7,1.340863,103.8303918221208,0,"Vancouver, Canada",49.2608724,-123.1139529,25646.32802613874,4.0337253369799155,3128.8520191889265
74,Slovenia,Europe,2018,0,45.813311299999995,14.4808369,0,"Vancouver, Canada",49.2608724,-123.1139529,17352.540486191505,2.6752256265910144,2429.3556680668107
75,Senegal,Africa,2018,0,14.475060699999998,-14.452961199999999,0,"Vancouver, Canada",49.2608724,-123.1139529,20178.177618606733,3.124442587377834,2461.7376694700215
76,Somalia,Africa,2018,0,8.3676771,49.083416,0,"Vancouver, Canada",49.2608724,-123.1139529,27124.222877231707,4.288525629380295,3309.1551910222684
77,Swaziland,Africa,2018,1,-26.562480600000004,31.399131699999998,0,"Vancouver, Canada",49.2608724,-123.1139529,33351.315265435245,5.404400963851944,4068.8604623830997
78,Thailand,Asia,2018,0,14.8971921,100.83273,0,"Vancouver, Canada",49.2608724,-123.1139529,23357.18658887285,3.646658384848333,2849.5767638424877
79,Tunisia,Africa,2018,0,33.8439408,9.400138,0,"Vancouver, Canada",49.2608724,-123.1139529,19305.14729446596,2.984147016161961,2355.2279699248475
80,Turkey,Middle East,2018,2,38.959759399999996,34.9249653,0,"Vancouver, Canada",49.2608724,-123.1139529,19941.569341856466,3.0862870601043797,2432.8714597064886
81,Taiwan,Asia,2018,18,23.59829785,120.8353631381752,0,"Vancouver, Canada",49.2608724,-123.1139529,19496.62438637344,3.014802304874079,2378.58817513756
82,Tanzania,Africa,2018,0,-6.5247123,35.7878438,0,"Vancouver, Canada",49.2608724,-123.1139529,29736.018511499675,4.748230982914002,3627.79425840296
83,Ukraine,Europe,2018,0,49.4871968,31.2718321,0,"Vancouver, Canada",49.2608724,-123.1139529,17530.587702072466,2.7031160235557583,2454.2822782901453
84,Uganda,Africa,2018,0,1.5333553999999998,32.2166578,0,"Vancouver, Canada",49.2608724,-123.1139529,27783.049112712673,4.403352694970949,3389.531991750946
85,USA,USA,2018,958,39.7837304,-100.4458825,0,"Vancouver, Canada",49.2608724,-123.1139529,4142.740151422558,0.7448462299124412,662.8384242276093
86,Uruguay,Other Americas,2018,0,-32.8755548,-56.0201525,0,"Vancouver, Canada",49.2608724,-123.1139529,22554.194283320947,3.513069672034259,2751.6117025651556
87,Venezuela,Other Americas,2018,0,8.0018709,-66.1109318,0,"Vancouver, Canada",49.2608724,-123.1139529,13961.41300703499,2.1546838621472686,1954.5978209848986
88,Vietnam,Asia,2018,0,13.2904027,108.42651129999999,0,"Vancouver, Canada",49.2608724,-123.1139529,22852.562964902892,3.5625746987218743,2788.0126817181526
89,South Africa,Africa,2018,5,-28.816623600000003,24.991639000000003,0,"Vancouver, Canada",49.2608724,-123.1139529,32977.378612746754,5.335464110463966,4023.240190755104
90,Zimbabwe,Africa,2018,0,-18.4554963,29.746841399999997,0,"Vancouver, Canada",49.2608724,-123.1139529,31636.358674353836,5.090267697111318,3859.635758271168
91,United Arab Emirates,Middle East,2019,0,24.0002488,53.999482900000004,0,"New Orleans, Louisiana",29.9499323,-90.0701156,25790.303091101796,4.058378505134877,3146.416977114419
92,Albania,Europe,2019,0,41.000028,19.9999619,0,"New Orleans, Louisiana",29.9499323,-90.0701156,18698.747647204334,2.887489375277298,2617.824670608607
93,Argentina,Other Americas,2019,0,-34.9964963,-64.9672817,0,"New Orleans, Louisiana",29.9499323,-90.0701156,15371.445366488808,2.368663951879956,2152.0023513084334
94,Austria,Europe,2019,5,47.2000338,13.199959,0,"New Orleans, Louisiana",29.9499323,-90.0701156,17042.571321531294,2.62680346629981,2385.9599850143813
95,Australia,Oceania,2019,12,-24.7761086,134.755,0,"New Orleans, Louisiana",29.9499323,-90.0701156,31157.557907569415,5.003489994350364,3801.2220647234685
96,Bosnia and Herzegovina,Europe,2019,0,44.305347600000005,17.596146700000002,0,"New Orleans, Louisiana",29.9499323,-90.0701156,17960.618491877227,2.7707090717032252,2514.486588862812
97,Bangladesh,Asia,2019,0,24.4768783,90.2932426,0,"New Orleans, Louisiana",29.9499323,-90.0701156,27925.994195227282,4.428367633762423,3406.9712918177283
98,Belgium,Europe,2019,9,50.6402809,4.666714499999999,0,"New Orleans, Louisiana",29.9499323,-90.0701156,15586.19210486579,2.401560386649123,2182.0668946812107
99,Burkina Faso,Africa,2019,1,12.075308300000001,-1.6880313999999998,0,"New Orleans, Louisiana",29.9499323,-90.0701156,18374.98876893437,2.836148881072419,2572.498427650812
100,Bulgaria,Europe,2019,0,42.6073975,25.4856617,0,"New Orleans, Louisiana",29.9499323,-90.0701156,19213.55443237337,2.969505937364762,2344.053640749551
101,Burundi,Africa,2019,1,-3.3634357,29.8870575,0,"New Orleans, Louisiana",29.9499323,-90.0701156,26123.17979079329,4.115517584747056,3187.027934476781
102,Brazil,Other Americas,2019,1,-10.333333300000001,-53.2,0,"New Orleans, Louisiana",29.9499323,-90.0701156,11936.653991674524,1.853543728998129,1671.1315588344335
103,Canada,Other Americas,2019,205,61.0666922,-107.9917071,0,"New Orleans, Louisiana",29.9499323,-90.0701156,7406.311339609601,1.2059183715285844,1185.0098143375362
104,Switzerland,Europe,2019,38,46.7985624,8.231973599999998,0,"New Orleans, Louisiana",29.9499323,-90.0701156,16421.859858626627,2.5303473967809946,2299.060380207728
105,Chile,Other Americas,2019,3,-31.7613365,-71.3187697,0,"New Orleans, Louisiana",29.9499323,-90.0701156,14283.372619806985,2.203234305981683,1999.6721667729782
106,Cameroon,Africa,2019,0,4.6125522000000005,13.153581099999998,0,"New Orleans, Louisiana",29.9499323,-90.0701156,22029.29684524485,3.4263599976211436,2687.574215119872
107,China,Asia,2019,76,35.000074,104.999927,0,"New Orleans, Louisiana",29.9499323,-90.0701156,25244.759900325822,3.965156976631976,3079.8607078397504
108,Colombia,Other Americas,2019,1,2.8894433999999998,-73.78389200000001,0,"New Orleans, Louisiana",29.9499323,-90.0701156,6927.793579213234,1.1396248656562893,1108.4469726741174
109,Czech Republic,Europe,2019,3,49.816700299999994,15.4749544,0,"New Orleans, Louisiana",29.9499323,-90.0701156,17037.225501047113,2.625969848592649,2385.211570146596
110,Germany,Europe,2019,75,51.0834196,10.4234469,0,"New Orleans, Louisiana",29.9499323,-90.0701156,16275.245967503699,2.5076633166504467,2278.5344354505182
111,Denmark,Europe,2019,5,55.670249,10.333328300000002,0,"New Orleans, Louisiana",29.9499323,-90.0701156,15810.304442002653,2.4359781750249385,2213.4426218803715
112,Estonia,Europe,2019,1,58.75237779999999,25.3319078,0,"New Orleans, Louisiana",29.9499323,-90.0701156,17005.406263297158,2.6210090554538064,2380.7568768616024
113,Egypt,Africa,2019,0,26.254049300000002,29.2675469,0,"New Orleans, Louisiana",29.9499323,-90.0701156,22061.257531415413,3.431625814848364,2691.47341883268
114,Spain,Europe,2019,4,39.3262345,-4.838064900000001,0,"New Orleans, Louisiana",29.9499323,-90.0701156,15156.967596416453,2.335889837571333,2121.9754634983037
115,Ethiopia,Europe,2019,1,10.211670199999999,38.6521203,0,"New Orleans, Louisiana",29.9499323,-90.0701156,25890.22866992823,4.075510457887886,3158.607897731244
116,Finland,Europe,2019,6,63.2467777,25.9209164,0,"New Orleans, Louisiana",29.9499323,-90.0701156,16466.977795441973,2.537335659906462,2305.3768913618765
117,France,Europe,2019,59,46.603353999999996,1.8883334999999999,0,"New Orleans, Louisiana",29.9499323,-90.0701156,15561.98069198764,2.397847445131928,2178.6772968782698
118,United Kingdom,Europe,2019,260,54.702354500000006,-3.2765752999999997,0,"New Orleans, Louisiana",29.9499323,-90.0701156,14274.110429624938,2.201835046317545,1998.3754601474914
119,Ghana,Africa,2019,1,8.0300284,-1.0800271000000001,0,"New Orleans, Louisiana",29.9499323,-90.0701156,18932.49642465954,2.924671226892921,2650.549499452336
120,Greece,Europe,2019,0,38.995368299999996,21.987713199999998,0,"New Orleans, Louisiana",29.9499323,-90.0701156,19234.07544826151,2.972784927616795,2346.557204687904
121,Guatemala,Other Americas,2019,0,15.635608800000002,-89.8988087,0,"New Orleans, Louisiana",29.9499323,-90.0701156,3183.556999567826,0.5921468069268128,814.9905918893635
122,Croatia,Europe,2019,0,45.5643442,17.0118954,0,"New Orleans, Louisiana",29.9499323,-90.0701156,17731.125647850833,2.734596402602312,2482.357590699117
123,Hungary,Europe,2019,5,47.1817585,19.5060937,0,"New Orleans, Louisiana",29.9499323,-90.0701156,17852.877068548627,2.7537434751815506,2499.402789596808
124,Indonesia,Asia,2019,0,-2.4833826,117.89028529999999,0,"New Orleans, Louisiana",29.9499323,-90.0701156,31542.714155621477,5.073263812371274,3848.21112698582
125,Ireland,Europe,2019,1,52.865196,-7.9794599,0,"New Orleans, Louisiana",29.9499323,-90.0701156,13780.798087213758,2.127527714362893,1929.3117322099263
126,Israel,Middle East,2019,26,31.531311300000002,34.8667654,0,"New Orleans, Louisiana",29.9499323,-90.0701156,22086.54722790799,3.4357938008931983,2694.558761804775
127,India,Asia,2019,11,22.3511148,78.6677428,0,"New Orleans, Louisiana",29.9499323,-90.0701156,28152.318498638393,4.468047315222682,3434.582856833884
128,Iraq,Middle East,2019,0,33.0955793,44.174977500000004,0,"New Orleans, Louisiana",29.9499323,-90.0701156,23022.91844731083,3.5909102659129615,2808.796050571921
129,Iran,Middle East,2019,0,32.6475314,54.56435160000001,0,"New Orleans, Louisiana",29.9499323,-90.0701156,24241.184321061668,3.795037510665472,2957.424487169523
130,Iceland,Europe,2019,0,64.9841821,-18.1059013,0,"New Orleans, Louisiana",29.9499323,-90.0701156,12351.239078353108,1.9146162871241315,1729.1734709694354
131,Italy,Europe,2019,5,42.6384261,12.674297,0,"New Orleans, Louisiana",29.9499323,-90.0701156,17481.150495093152,2.6953662768177478,2447.3610693130418
132,Japan,Asia,2019,62,36.5748441,139.2394179,0,"New Orleans, Louisiana",29.9499323,-90.0701156,22013.365475924962,3.4237358301920433,2685.630588062845
133,Kenya,Africa,2019,0,1.4419683,38.431397499999996,0,"New Orleans, Louisiana",29.9499323,-90.0701156,27082.826008454496,4.281336095939804,3304.1047730314485
134,Cambodia,Asia,2019,0,13.5066394,104.869423,0,"New Orleans, Louisiana",29.9499323,-90.0701156,29849.258489695443,4.768434398580603,3641.609535742844
135,North Korea,Asia,2019,1,40.37366110000001,127.08704170000001,0,"New Orleans, Louisiana",29.9499323,-90.0701156,22615.876448008512,3.5232910495344245,2759.136926657038
