Work Location,Region,Year,Number
United Arab Emirates,Middle East,2018,1
Albania,Europe,2018,0
Argentina,Other Americas,2018,2
Austria,Europe,2018,3
Australia,Oceania,2018,8
Bosnia and Herzegovina,Europe,2018,0
Bangladesh,Asia,2018,0
Belgium,Europe,2018,2
Burkina Faso,Africa,2018,0
Bulgaria,Europe,2018,0
Burundi,Africa,2018,0
Brazil,Other Americas,2018,4
Canada,Other Americas,2018,320
Switzerland,Europe,2018,34
Chile,Other Americas,2018,0
Cameroon,Africa,2018,0
China,Asia,2018,71
Colombia,Other Americas,2018,0
Czech Republic,Europe,2018,3
Germany,Europe,2018,48
Denmark,Europe,2018,4
Estonia,Europe,2018,0
Egypt,Africa,2018,0
Spain,Europe,2018,17
Ethiopia,Europe,2018,0
Finland,Europe,2018,8
France,Europe,2018,41
United Kingdom,Europe,2018,169
Ghana,Africa,2018,0
Greece,Europe,2018,0
Guatemala,Other Americas,2018,0
Croatia,Europe,2018,0
Hungary,Europe,2018,0
Indonesia,Asia,2018,0
Ireland,Europe,2018,0
Israel,Middle East,2018,31
India,Asia,2018,16
Iraq,Middle East,2018,0
Iran,Middle East,2018,1
Iceland,Europe,2018,0
Italy,Europe,2018,6
Japan,Asia,2018,64
Kenya,Africa,2018,0
Cambodia,Asia,2018,0
North Korea,Asia,2018,1
South Korea,Asia,2018,65
Lebanon,Middle East,2018,1
Sri Lanka,Asia,2018,0
Lithuania,Europe,2018,0
Luxembourg,Europe,2018,0
Latvia,Europe,2018,0
Morocco,Africa,2018,0
Mali,Africa,2018,0
Mauritius,Africa,2018,0
Malawi,Africa,2018,0
Mexico,Other Americas,2018,0
Malaysia,Asia,2018,0
Nigeria,Africa,2018,0
Netherlands,Europe,2018,25
Norway,Europe,2018,3
New Zealand,Oceania,2018,0
Peru,Other Americas,2018,0
Philippines,Asia,2018,0
Pakistan,Middle East,2018,0
Poland,Europe,2018,3
Portugal,Europe,2018,1
Qatar,Middle East,2018,2
Romania,Europe,2018,1
Russia,Europe,2018,26
Rwanda,Africa,2018,0
Saudi Arabia,Middle East,2018,2
Sudan,Africa,2018,0
Sweden,Europe,2018,11
Singapore,Asia,2018,7
Slovenia,Europe,2018,0
Senegal,Africa,2018,0
Somalia,Africa,2018,0
Swaziland,Africa,2018,1
Thailand,Asia,2018,0
Tunisia,Africa,2018,0
Turkey,Middle East,2018,2
Taiwan,Asia,2018,18
Tanzania,Africa,2018,0
Ukraine,Europe,2018,0
Uganda,Africa,2018,0
USA,USA,2018,958
Uruguay,Other Americas,2018,0
Venezuela,Other Americas,2018,0
Vietnam,Asia,2018,0
South Africa,Africa,2018,5
Zimbabwe,Africa,2018,0
United Arab Emirates,Middle East,2019,0
Albania,Europe,2019,0
Argentina,Other Americas,2019,0
Austria,Europe,2019,5
Australia,Oceania,2019,12
Bosnia and Herzegovina,Europe,2019,0
Bangladesh,Asia,2019,0
Belgium,Europe,2019,9
Burkina Faso,Africa,2019,1
Bulgaria,Europe,2019,0
Burundi,Africa,2019,1
Brazil,Other Americas,2019,1
Canada,Other Americas,2019,205
Switzerland,Europe,2019,38
Chile,Other Americas,2019,3
Cameroon,Africa,2019,0
China,Asia,2019,76
Colombia,Other Americas,2019,1
Czech Republic,Europe,2019,3
Germany,Europe,2019,75
Denmark,Europe,2019,5
Estonia,Europe,2019,1
Egypt,Africa,2019,0
Spain,Europe,2019,4
Ethiopia,Europe,2019,1
Finland,Europe,2019,6
France,Europe,2019,59
United Kingdom,Europe,2019,260
Ghana,Africa,2019,1
Greece,Europe,2019,0
Guatemala,Other Americas,2019,0
Croatia,Europe,2019,0
Hungary,Europe,2019,5
Indonesia,Asia,2019,0
Ireland,Europe,2019,1
Israel,Middle East,2019,26
India,Asia,2019,11
Iraq,Middle East,2019,0
Iran,Middle East,2019,0
Iceland,Europe,2019,0
Italy,Europe,2019,5
Japan,Asia,2019,62
Kenya,Africa,2019,0
Cambodia,Asia,2019,0
North Korea,Asia,2019,1
South Korea,Asia,2019,103
Lebanon,Middle East,2019,0
Sri Lanka,Asia,2019,0
Lithuania,Europe,2019,0
Luxembourg,Europe,2019,1
Latvia,Europe,2019,1
Morocco,Africa,2019,1
Mali,Africa,2019,0
Mauritius,Africa,2019,0
Malawi,Africa,2019,0
Mexico,Other Americas,2019,0
Malaysia,Asia,2019,0
Nigeria,Africa,2019,1
Netherlands,Europe,2019,28
Norway,Europe,2019,9
New Zealand,Oceania,2019,0
Peru,Other Americas,2019,0
Philippines,Asia,2019,0
Pakistan,Middle East,2019,0
Poland,Europe,2019,7
Portugal,Europe,2019,4
Qatar,Middle East,2019,1
Romania,Europe,2019,0
Russia,Europe,2019,18
Rwanda,Africa,2019,1
Saudi Arabia,Middle East,2019,2
Sudan,Africa,2019,0
Sweden,Europe,2019,6
Singapore,Asia,2019,8
Slovenia,Europe,2019,0
Senegal,Africa,2019,0
Somalia,Africa,2019,0
Swaziland,Africa,2019,0
Thailand,Asia,2019,0
Tunisia,Africa,2019,0
Turkey,Middle East,2019,1
Taiwan,Asia,2019,11
Tanzania,Africa,2019,0
Ukraine,Europe,2019,4
Uganda,Africa,2019,3
USA,USA,2019,1493
Uruguay,Other Americas,2019,1
Venezuela,Other Americas,2019,0
Vietnam,Asia,2019,1
South Africa,Africa,2019,1
Zimbabwe,Africa,2019,0
United Arab Emirates,Middle East,2020,4
Albania,Europe,2020,1
Argentina,Other Americas,2020,8
Austria,Europe,2020,29
Australia,Oceania,2020,60
Bosnia and Herzegovina,Europe,2020,1
Bangladesh,Asia,2020,2
Belgium,Europe,2020,15
Burkina Faso,Africa,2020,2
Bulgaria,Europe,2020,5
Burundi,Africa,2020,0
Brazil,Other Americas,2020,18
Canada,Other Americas,2020,367
Switzerland,Europe,2020,121
Chile,Other Americas,2020,8
Cameroon,Africa,2020,1
China,Asia,2020,191
Colombia,Other Americas,2020,6
Czech Republic,Europe,2020,36
Germany,Europe,2020,248
Denmark,Europe,2020,19
Estonia,Europe,2020,0
Egypt,Africa,2020,6
Spain,Europe,2020,23
Ethiopia,Europe,2020,13
Finland,Europe,2020,14
France,Europe,2020,179
United Kingdom,Europe,2020,470
Ghana,Africa,2020,14
Greece,Europe,2020,7
Guatemala,Other Americas,2020,2
Croatia,Europe,2020,0
Hungary,Europe,2020,7
Indonesia,Asia,2020,2
Ireland,Europe,2020,21
Israel,Middle East,2020,58
India,Asia,2020,131
Iraq,Middle East,2020,1
Iran,Middle East,2020,5
Iceland,Europe,2020,2
Italy,Europe,2020,23
Japan,Asia,2020,129
Kenya,Africa,2020,22
Cambodia,Asia,2020,1
North Korea,Asia,2020,2
South Korea,Asia,2020,283
Lebanon,Middle East,2020,1
Sri Lanka,Asia,2020,1
Lithuania,Europe,2020,2
Luxembourg,Europe,2020,1
Latvia,Europe,2020,0
Morocco,Africa,2020,10
Mali,Africa,2020,1
Mauritius,Africa,2020,1
Malawi,Africa,2020,1
Mexico,Other Americas,2020,6
Malaysia,Asia,2020,2
Nigeria,Africa,2020,28
Netherlands,Europe,2020,106
Norway,Europe,2020,4
New Zealand,Oceania,2020,6
Peru,Other Americas,2020,4
Philippines,Asia,2020,4
Pakistan,Middle East,2020,2
Poland,Europe,2020,24
Portugal,Europe,2020,4
Qatar,Middle East,2020,1
Romania,Europe,2020,5
Russia,Europe,2020,39
Rwanda,Africa,2020,8
Saudi Arabia,Middle East,2020,11
Sudan,Africa,2020,2
Sweden,Europe,2020,19
Singapore,Asia,2020,63
Slovenia,Europe,2020,1
Senegal,Africa,2020,3
Somalia,Africa,2020,1
Swaziland,Africa,2020,0
Thailand,Asia,2020,3
Tunisia,Africa,2020,3
Turkey,Middle East,2020,4
Taiwan,Asia,2020,14
Tanzania,Africa,2020,3
Ukraine,Europe,2020,2
Uganda,Africa,2020,5
USA,USA,2020,1977
Uruguay,Other Americas,2020,1
Venezuela,Other Americas,2020,1
Vietnam,Asia,2020,16
South Africa,Africa,2020,32
Zimbabwe,Africa,2020,1